level_1,level_2,level_3,level_4,level_5,level_6,collection_description,collection_editorial_url,collection_editorial_type,is_homepage,product_name,product_description,brand,price,price_visible,asset_1_url,asset_1_type,asset_2_url,asset_2_type,asset_3_url,asset_3_type,asset_4_url,asset_4_type,min_order_qty,sold_out
Curated Gift Sets,Decor,Serveware,,,,Jaipur Scarlet Square Platter,https://drive.google.com/file/d/1LmxgKXLxGREI0mVZfs8WJM8KqxkqOgPH/view?usp=sharing,image,no,Jaipur Scarlet Square Platter,,Vvyom,2100,yes,https://drive.google.com/file/d/1LmxgKXLxGREI0mVZfs8WJM8KqxkqOgPH/view?usp=sharing,image,,,,,,,10,no
Curated Gift Sets,Decor,Serveware,,,,Oval Platter with tong set in 3 colours,https://drive.google.com/file/d/19pZaJW-Bs3Ge-7JuK8XvWUQoGmFTTz16/view?usp=sharing,image,no,Oval Platter with tong set in 3 colours,,Vvyom,2300,yes,https://drive.google.com/file/d/19pZaJW-Bs3Ge-7JuK8XvWUQoGmFTTz16/view?usp=sharing,image,https://drive.google.com/file/d/1r8xE8N4nygLTij-l8FI0G2yG5rJR8s7s/view?usp=sharing,image,https://drive.google.com/file/d/1OqJjKe2JHSg4tiiUJZiGUeQtJLLcmUOu/view?usp=sharing,image,,,10,no
Curated Gift Sets,Decor,Serveware,,,,Serving Tray in 3 colours,https://drive.google.com/file/d/1fNwdG1TYTRjhzAtW0w-rs_lWaSYPpDQw/view?usp=sharing,image,no,Serving Tray in 3 colours,,Vvyom,2500,yes,https://drive.google.com/file/d/1fNwdG1TYTRjhzAtW0w-rs_lWaSYPpDQw/view?usp=sharing,image,https://drive.google.com/file/d/1m2YvA4t9-6b-Y0YG_vYjId1NdiqGW0IJ/view?usp=sharing,image,https://drive.google.com/file/d/1bGC9nqmjFaYIm3uQtxN6n4giNI-wRNow/view?usp=sharing,image,,,10,no
Curated Gift Sets,Decor,Serveware,,,,Platter with Dipping bowl in 3 colours,https://drive.google.com/file/d/1R3mY3KnxdL-uYh_T0kqN86dbo3B3sY-9/view?usp=sharing,image,no,Platter with Dipping bowl in 3 colours,,Vvyom,2800,yes,https://drive.google.com/file/d/1R3mY3KnxdL-uYh_T0kqN86dbo3B3sY-9/view?usp=sharing,image,https://drive.google.com/file/d/1fjIutMbgxLPqgOxCy1qfY3usvf5FlaXc/view?usp=sharing,image,https://drive.google.com/file/d/1SpT0VTlc30a3-kjNkmf_5r98zN-fzqPa/view?usp=sharing,image,,,10,yes
Curated Gift Sets,Decor,Serveware,,,,Brass Glasses set of 6,https://drive.google.com/file/d/1HpB0e5zYKMOM2Bg0bYkvNAIqFsCX6MSl/view?usp=sharing,image,no,Brass Glasses set of 6,,Vvyom,4300,yes,https://drive.google.com/file/d/1HpB0e5zYKMOM2Bg0bYkvNAIqFsCX6MSl/view?usp=sharing,image,https://drive.google.com/file/d/1v0cWJgv7oS_XxUnlFot51wqGETBUYcQT/view?usp=sharing,image,https://drive.google.com/file/d/1De0FGtiJZ4ml_8-lqDsano2ZRqtb9nmG/view?usp=sharing,image,,,10,yes
Curated Gift Sets,Decor,Serveware,,,,Brass bowls - Set of 6,https://drive.google.com/file/d/1ZbQsWvxpQLgo_e9HaMWtIp6T5olIYvBn/view?usp=sharing,image,no,Brass bowls - Set of 6,,Vvyom,4300,yes,https://drive.google.com/file/d/1ZbQsWvxpQLgo_e9HaMWtIp6T5olIYvBn/view?usp=sharing,image,https://drive.google.com/file/d/14pz-ydGc95LFzvEB-okXNF7bwXUr9DHk/view?usp=sharing,image,https://drive.google.com/file/d/1EH3VdLc9f05Csp4mdkD8n7K8sMK9NRU9/view?usp=sharing,image,,,10,yes
Curated Gift Sets,Fragrances,Candles,,,,Brass Lotus Scented Candle,https://drive.google.com/file/d/1i0DPZQ77uBhRgflwXsCW6noJe1Dglbz9/view?usp=sharing,image,no,Brass Lotus Scented Candle,,Vvyom,1400,yes,https://drive.google.com/file/d/1i0DPZQ77uBhRgflwXsCW6noJe1Dglbz9/view?usp=sharing,image,https://drive.google.com/file/d/1rsFqfqOjPZexXVPn70zZCrdIQjRB6ZST/view?usp=sharing,image,https://drive.google.com/file/d/1mxl7hPyd1R7YSzOj2YS9CIx0xfUtinSn/view?usp=sharing,image,,,10,no
Curated Gift Sets,Fragrances,Candles,,,,,,image,no,BuTR Gold,"BuTR is Plush and creamy, With notes of Vanilla, Coconut, Tonka Bean, Cacao, and Mocha, it greets you in the morning and lingers softly in the background. Its Indulgence yet a daily comfort that feels familiar and cozy. Size: 230 gms Burn Time: 45 hours Colour: Clear Lid: Mango Wood",AW Apothecary,1550,yes,https://ik.imagekit.io/bieqcmvui/awapothecary_catalog/BuTR_Gold_1.jpg,image,https://ik.imagekit.io/bieqcmvui/awapothecary_catalog/BuTR_Gold_2.jpg,image,,,,,10,no
Curated Gift Sets,Fragrances,Candles,,,,,,image,no,BuTR Reed Diffuser,"BuTR is Plush and creamy, With notes of Vanilla, Coconut, Tonka Bean, Cacao, and Mocha, it greets you in the morning and lingers softly in the background. Its Indulgence yet a daily comfort that feels familiar and cozy. Size: 100ml Duration: 6 to 9 Months (Approx.) Lid: Gold",AW Apothecary,1450,yes,https://ik.imagekit.io/bieqcmvui/awapothecary_catalog/BuTR_Reed_Diffuser_1.jpg,image,https://ik.imagekit.io/bieqcmvui/awapothecary_catalog/BuTR_Reed_Diffuser_2.jpg,image,,,,,10,no
Curated Gift Sets,Fragrances,Candles,,,,,,image,no,BuTR Grande,"BuTR is Plush and creamy, With notes of Vanilla, Coconut, Tonka Bean, Cacao, and Mocha, it greets you in the morning and lingers softly in the background. Its Indulgence yet a daily comfort that feels familiar and cozy. Size: 500 g Burn Time: 45 hours Colour: Clear Lid: Mango Wood",AW Apothecary,2575,yes,https://ik.imagekit.io/bieqcmvui/awapothecary_catalog/BuTR_Grande_1.jpg,image,https://ik.imagekit.io/bieqcmvui/awapothecary_catalog/BuTR_Grande_2.jpg,image,,,,,10,no
Curated Gift Sets,Fragrances,Candles,,,,,,image,no,PALM LUXE BOX 2.0,"PALM is a reminder of slower days and warm sunshine. A blend of Pineapple, Coconut, Peach, Passionfruit, and Vanilla , PALM brings the feeling of a laid-back tropical holiday to your space. Size: 150 gm Burn Time: 30 hours Colour: Silver Lid: Mango Wood Size: 100ml Duration: 6 to 9 Months (Approx.) Lid: Mango Wood",AW Apothecary,1895,yes,https://ik.imagekit.io/bieqcmvui/awapothecary_catalog/PALM_LUXE_BOX_2.0_1.jpg,image,https://ik.imagekit.io/bieqcmvui/awapothecary_catalog/PALM_LUXE_BOX_2.0_2.jpg,image,,,,,10,no
Curated Gift Sets,Fragrances,Candles & Diffusor Sets,,,,,,image,no,RiVR LUXE BOX 2.0,"RiVR, inspired by moonlit rivers, is a bold, refreshing blend of Cypress, Vetiver, Blackcurrant, Lime, and Musk. Clean, fresh and edgy, it leaves a lasting impression. Size: 150 gm Burn Time: 30 hours Colour: Silver Lid: Mango Wood Size: 100ml Duration: 6 to 9 Months (Approx.) Lid: Mango Wood",AW Apothecary,2700,yes,https://ik.imagekit.io/bieqcmvui/awapothecary_catalog/RiVR_LUXE_BOX_2.0_1.jpg,image,https://ik.imagekit.io/bieqcmvui/awapothecary_catalog/RiVR_LUXE_BOX_2.0_2.jpg,image,,,,,10,no
Curated Gift Sets,Fragrances,Candles & Diffusor Sets,,,,,,image,no,PALM & RIVR LUXE 2.0,"Our curated sets of two are ideal for those who appreciate variety or find it hard to choose a favourite. Thoughtfully matched, they make elegant gifts for candle lovers — or a luxurious treat for yourself. Size: 150 g each Burn Time: 30 hours each (Approx.) Colour: Gold &amp; Silver Lid: Mango Wood",AW Apothecary,2500,yes,https://ik.imagekit.io/bieqcmvui/awapothecary_catalog/PALM___RIVR_LUXE_2.0_1.jpg,image,https://ik.imagekit.io/bieqcmvui/awapothecary_catalog/PALM___RIVR_LUXE_2.0_2.jpg,image,,,,,10,no
Curated Gift Sets,Fragrances,Candles & Diffusor Sets,,,,,,image,no,OPULENT LUXE BOX,1 DZRT Reed Diffuser Fragrance Oil 100 ml 1 PALM Scented Soy Wax Candle 150 g 1 BUTR Scented Soy Wax Candle 150 g 1 RiVR Scented Micro Candle 70 g Scented Soy Wax Candles &amp; Home Fragrance Reed Diffuser,AW Apothecary,3950,yes,https://ik.imagekit.io/bieqcmvui/awapothecary_catalog/OPULENT_LUXE_BOX_1.jpg,image,https://ik.imagekit.io/bieqcmvui/awapothecary_catalog/OPULENT_LUXE_BOX_2.jpg,image,,,,,10,no
Curated Gift Sets,Fragrances,Candles & Diffusor Sets,,,,,,image,no,BuTR & PALM Luxe Box,"BuTR is Plush and creamy, With notes of Vanilla, Coconut, Tonka Bean, Cacao, and Mocha, this scented soy wax candle greets you in the morning and lingers softly in the background. Its Indulgence yet a daily comfort that feels familiar and cozy. BeRe is as fresh as it is sweet, offset by a delicious tanginess from a blend of Mango, Mandarin, Bilberry and Lime. Atypical yet appealing, there’s a charming complexity to this scented soy wax candle that makes it undefinable and always in demand.",AW Apothecary,2500,yes,https://ik.imagekit.io/bieqcmvui/awapothecary_catalog/BuTR___PALM_Luxe_Box_1.jpg,image,https://ik.imagekit.io/bieqcmvui/awapothecary_catalog/BuTR___PALM_Luxe_Box_2.jpg,image,,,,,10,no
Curated Gift Sets,Fragrances,Candles & Diffusor Sets,,,,,,image,no,PLUSH LUXE BOX,1 DZRT Reed Diffuser Oil 100 ml 1 RIVR Soy Wax Candle 150 g 1 BUTR Soy Wax Candle 150 g 1 PALM Micro Candle 70 g,AW Apothecary,3950,yes,https://ik.imagekit.io/bieqcmvui/awapothecary_catalog/PLUSH_LUXE_BOX_1.jpg,image,https://ik.imagekit.io/bieqcmvui/awapothecary_catalog/PLUSH_LUXE_BOX_2.jpg,image,,,,,10,no
Curated Gift Sets,Fragrances,Candles & Diffusor Sets,,,,,,image,no,DZRT Grande,"DZrT is rich and evocative. With notes of Oudh, Patchouli, Nutmeg, BirchTar, and Cedar it creates a deep, smoky warmth that’s both grounding and luxurious. Housed in a bold black and gold jar, it brings a sense of Desert opulence of the middle east and a quiet intensity. Size: 500 gm Burn Time: 48 hours Colour: Clear Lid: Gold Metal",AW Apothecary,2760,yes,https://ik.imagekit.io/bieqcmvui/awapothecary_catalog/DZRT_Grande_1.jpg,image,https://ik.imagekit.io/bieqcmvui/awapothecary_catalog/DZRT_Grande_2.jpg,image,,,,,10,no
Hampers,Occasion,Diwali,,,,,,image,no,Rustic Bloom,"an artisanal masterpiece, a blooming sanctuary nestled within a hand-carved vessel. With ethereal notes of White Jasmine, Gardenia, and soft Sandalwood, it evokes the serenity of a sun-drenched garden in full bloom. Its intricate floral landscape is a visual indulgence that brings a touch of natural elegance to your space, offering a comfort that feels both sophisticated and soulful. Size: 450 gms Burn Time: 60 hours Vessel: Hand-carved Mango Wood Finish: Hand-sculpted Wax Florals",CoralInk,2850,yes,https://ik.imagekit.io/bieqcmvui/coralink_catalog/Rustic_Bloom_1.jpg,image,https://ik.imagekit.io/bieqcmvui/coralink_catalog/Rustic_Bloom_2.jpg,image,,,,,10,no
Hampers,Occasion,Diwali,,,,,,image,no,Earth Song,"Earthy and refined. With a symphony of natural textures, artisanal tea, and hand-carved wood, it invites a moment of stillness and deep connection. It is an indulgence that feels like a quiet sanctuary, offering a curated warmth that is both sophisticated and deeply grounding. Includes: Artisanal Tea Tin, Hand-carved Wooden Candle, Dried Botanicals, and a Hand-woven Basket.",CoralInk,4250,yes,https://ik.imagekit.io/bieqcmvui/coralink_catalog/Earth_Song_1.jpg,image,,,,,,,10,no
Hampers,Occasion,Diwali,,,,,,image,no,Sukoon Basket,"Ethereal and vibrant. With notes of Damask Rose, Saffron, and Warm Sandalwood, it evokes the serenity of a sun-drenched sanctuary. Adorned with hand-placed botanicals in a handcrafted lotus brass vessel, it is a celebration of ritual and refined elegance. It’s a sensory bridge to tranquility that feels both sacred and sophisticated. Size: 250 gms Burn Time: 40 hours Vessel: Handcrafted Brass Color: Warm Ivory",CoralInk,2450,yes,https://ik.imagekit.io/bieqcmvui/coralink_catalog/Sukoon_Basket_1.jpg,image,https://ik.imagekit.io/bieqcmvui/coralink_catalog/Sukoon_Basket_2.jpg,image,,,,,10,no
Hampers,Occasion,Diwali,,,,,,image,no,Saddle &#038; Sage,"radiant and blooming. With notes of Peach Nectar, Velvet Peony, Apricot, and a hint of warm Sandalwood, it evokes the soft glow of a summer sunset. It’s a sculptural elegance that transforms your space into a serene sanctuary. An artisanal beauty that connects you to moments of quiet reflection. Size: 250 gms Burn Time: 45 hours Colour: Clear Lid: Mango Wood",CoralInk,1850,yes,https://ik.imagekit.io/bieqcmvui/coralink_catalog/Saddle___038__Sage_1.jpg,image,https://ik.imagekit.io/bieqcmvui/coralink_catalog/Saddle___038__Sage_2.jpg,image,,,,,10,no
Hampers,Occasion,Diwali,,,,,,image,no,Woodland Whimsy,"radiant and evocative. With notes of Sun-drenched Sea Salt, Damask Rose, Bergamot, and Driftwood, it greets you with a coastal breeze and lingers softly with a grounding, woody warmth. It’s an artisanal escape that feels both sophisticated and serene. Size: 350 gms Burn Time: 40 hours Vessel: Hand-carved Mango Wood Features: Double Wick & Sun-dried Botanicals",CoralInk,2200,yes,https://ik.imagekit.io/bieqcmvui/coralink_catalog/Woodland_Whimsy_1.jpg,image,https://ik.imagekit.io/bieqcmvui/coralink_catalog/Woodland_Whimsy_2.jpg,image,,,,,10,no
Hampers,Occasion,Diwali,,,,,,image,no,Peony in Jar,"an artisanal blend of texture and tranquility. Featuring a hand-sculpted floral bloom candle, ceramic accents, and a premium textured journal, it transforms your space into a serene sanctuary. It greets you with a sense of refined calm and lingers as a sophisticated aesthetic in your home. An elevated indulgence that feels curated, thoughtful, and timeless.",CoralInk,4500,yes,https://ik.imagekit.io/bieqcmvui/coralink_catalog/Peony_in_Jar_1.jpg,image,,,,,,,10,no
Hampers,Occasion,Diwali,,,,,,image,no,Lotus urli,"an orchestration of earthy elegance and botanical grace. With notes of White Rose, Green Tea, and soft Moss, it greets you with a sense of calm and lingers with a whisper of luxury. It is a curated indulgence that turns a simple moment into a cherished ritual—a daily comfort that feels both sophisticated and grounding.",CoralInk,4850,yes,https://ik.imagekit.io/bieqcmvui/coralink_catalog/Lotus_urli_1.jpg,image,,,,,,,10,no
Hampers,Occasion,Diwali,,,,,,image,no,Rose wooden loaf,"Untamed and serene, an artisanal tribute to the rustic spirit of the wild. With notes of Sun-Drenched Agave, Wild Sage, Sandalwood, and Warm Clay, it captures the quiet majesty of a desert landscape at dawn. It is a playful yet sophisticated indulgence that brings a sense of grounded adventure and cozy charm to your sanctuary. Size: 1.2 kg (Large Gift Hamper) Contents: Hand-poured Wax Succulents, Felt Keepsake, Woven Willow Basket.",CoralInk,4850,yes,https://ik.imagekit.io/bieqcmvui/coralink_catalog/Rose_wooden_loaf_1.jpg,image,,,,,,,10,no
Hampers,Occasion,Diwali,,,,,,image,no,Daisy wooden loaf,"a curated symphony of rustic elegance and botanical artistry. Centered around a hand-poured succulent garden that captures the serene beauty of the desert, it greets you with tactile warmth and artisanal charm. With textures of sun-drenched wicker, soft linens, and vibrant blooms, it is a soulful indulgence that transforms any corner into a sanctuary of cozy sophistication. A timeless gift that feels both grand and deeply personal, designed to linger in the memory. Features: Hand-poured Succulent Garden, Curated Keepsakes, Artisanal Woven Basket.",CoralInk,4500,yes,https://ik.imagekit.io/bieqcmvui/coralink_catalog/Daisy_wooden_loaf_1.jpg,image,,,,,,,10,no
Hampers,Occasion,Diwali,,,,,,image,no,Sprinkle of joy,"sun-drenched and spirited. With notes of Wild Hibiscus, Sea Salt, Pink Peony, and Sun-warmed Amber, it evokes the serenity of a coastal sunset and the warmth of shared moments. It is an artisanal curation that feels both vibrant and deeply calming—a beautiful link between handcrafted art and modern luxury. This set is designed to linger in the memory, offering a tactile and sensory experience that celebrates connection and grace. Box: Handcrafted Wood. Accent: Hand-woven Macrame Rainbow. Ribbon: Double-faced Satin.",CoralInk,2850,yes,https://ik.imagekit.io/bieqcmvui/coralink_catalog/Sprinkle_of_joy_1.jpg,image,https://ik.imagekit.io/bieqcmvui/coralink_catalog/Sprinkle_of_joy_2.jpg,image,,,,,10,no
Curated Gift Sets,Fragrances,Candles,,,,Candles,https://drive.google.com/file/d/1DwQagJIBcKxWXzpGE2ssvSs0BP_qOFd2/view?usp=sharing,image,yes,Classic Luxe Box,Set of Three,AW Apothecary,3750,yes,https://drive.google.com/file/d/1DwQagJIBcKxWXzpGE2ssvSs0BP_qOFd2/view?usp=sharing,image,https://drive.google.com/file/d/1aa2fEIhxj0CP3roll2DBjBF2pI_1Qz37/view?usp=sharing,image,https://drive.google.com/file/d/13nv9ceon8i_IBOonjji8TjcIeC21X_c6/view?usp=sharing,Video,,,10,no
Curated Gift Sets,Fragrances,Candles,,,,Candles,https://drive.google.com/file/d/1HZznAo_j1K1T6KnBT-_SfBQ7htQulE7Y/view?usp=sharing,image,no,RIVR & PALM,Set of Two,AW Apothecary,2250,yes,https://drive.google.com/file/d/1HZznAo_j1K1T6KnBT-_SfBQ7htQulE7Y/view?usp=sharing,image,https://drive.google.com/file/d/16N7gwYCGJRq-je0jA4SIpes4dZBCvMgx/view?usp=sharing,image,,,,,10,no
Curated Gift Sets,Fragrances,Candles,,,,Candles,https://drive.google.com/file/d/1vpZ7wXild-am9zRjjCNBL9awVBU4-4Gn/view?usp=sharing,image,no,Micro Luxe Box,Set of Four,AW Apothecary,1850,yes,https://drive.google.com/file/d/1vpZ7wXild-am9zRjjCNBL9awVBU4-4Gn/view?usp=sharing,image,,,,,,,10,no
Curated Gift Sets,Fragrances,Candles,,,,Candles,https://drive.google.com/file/d/19Baov1Cex7tHdpEigbNDmYBBni8yWFsp/view?usp=sharing,image,no,Grande,Silver (5 fragrances),AW Apothecary,2575,yes,https://drive.google.com/file/d/19Baov1Cex7tHdpEigbNDmYBBni8yWFsp/view?usp=sharing,image,https://drive.google.com/file/d/1QHgpUjWWW1MTxw3rvDlrUrX8-sEG1DqJ/view?usp=sharing,image,,,,,10,no
Curated Gift Sets,Fragrances,Candles & Diffusor Sets,,,,Candles & Diffusor Sets,https://drive.google.com/file/d/1aa2fEIhxj0CP3roll2DBjBF2pI_1Qz37/view?usp=sharing,image,no,Festive LUXE Box,Set of Three,AW Apothecary,3950,yes,https://drive.google.com/file/d/1aa2fEIhxj0CP3roll2DBjBF2pI_1Qz37/view?usp=sharing,image,,,,,,,10,no
Curated Gift Sets,Fragrances,Candles & Diffusor Sets,,,,Candles & Diffusor Sets,https://drive.google.com/file/d/1rDKAjqXG9SucJD8E-4WOkGldG3rDRyvg/view?usp=sharing,image,no,Rustic LUXE Box,Set of Four,AW Apothecary,3750,yes,https://drive.google.com/file/d/1rDKAjqXG9SucJD8E-4WOkGldG3rDRyvg/view?usp=sharing,image,https://drive.google.com/file/d/13x004XKDbW49swERiirJMGEdUAn8JfFj/view?usp=sharing,image,,,,,10,no
Hampers,Occasion,Christmas,,,,Christmas,https://drive.google.com/file/d/1_TBI4oS-yLTmnEhWrKr2maPb26D-d3Vm/view?usp=sharing,image,no,RIVR & PALM,Christmas Edit,AW Apothecary,2500,yes,https://drive.google.com/file/d/1HIcETefsi2GqNX6KRzoNuAje69FfZdbN/view?usp=sharing,image,https://drive.google.com/file/d/1_TBI4oS-yLTmnEhWrKr2maPb26D-d3Vm/view?usp=sharing,image,https://drive.google.com/file/d/1_UDvJP8SVBlBALcovVPrW3Fgkldhp78-/view?usp=sharing,video,,,10,no
Hampers,Occasion,Christmas,,,,Christmas,https://drive.google.com/file/d/1OpjNBXPKLrSX30aqhBKPRCrw5NpBcxor/view?usp=sharing,image,no,PALM LIKE Christmas,Christmas Edit,AW Apothecary,1895,yes,https://drive.google.com/file/d/1Zc-utvdsTuVzGpsqAPT-snd46ImrwjcK/view?usp=sharing,video,https://drive.google.com/file/d/1b0JuQRA0ig-g0CXMQO_z8K2PcvqI0n0D/view?usp=sharing,video,,,,,10,no
Hampers,Occasion,Baby Shower,,,,Baby Shower,https://drive.google.com/file/d/1iPtrxAW3mjrFHJf4HeahgpylwgW5IKWt/view?usp=sharing,image,no,RIVE & BeRe,Micro Set of Two,AW Apothecary,925,yes,https://drive.google.com/file/d/1cznp69wc1nCwxKS91t1ZoSgztf0_YaDj/view?usp=sharing,image,https://drive.google.com/file/d/1Uz3qib8mbc4jme02kukM0FfR6pJ_jUpd/view?usp=sharing,image,https://drive.google.com/file/d/1iPtrxAW3mjrFHJf4HeahgpylwgW5IKWt/view?usp=sharing,video,,,10,no